"id","japanese","english","const"
"4688","見積り計算結果","Estimate result",""
"4689","転記","Transcript",""
"4690","開発規模 (ファンクションポイント合計)","Development scale (total function point)",""
"4691","ソフト費用 (システム構築費用合計)","Software cost (total system construction cost)",""
"4692","プロジェクトの規模単位","Project scale unit",""
"4693","「FP」に変更する","Change to [FP]",""
"4694","（FP）","(FP)",""
"4695","(円)","(Yen)",""
"4696","チェックされた項目を該当する「規模／金額」項目に転記します","Write checked item into corresponding [scale/amount] item",""
"4697","開発規模は0～99999999の範囲で入力してください。","Please enter numerical value in the range of 0 -- 99999999 for development scale.",""
"4698","ソフト費用は0～%1の範囲で入力してください","Please enter software cost in the range of 0 -- %1",""
"4699","現在の定義「%1」を変更せずに登録する","Register without changing current definition [%1]",""
"4700","サブシステム名","Subsystem name",""
"4701","EX.サブシステム構築費用","EX. Subsystem construction cost",""
"4702","サブシステム構築費用","Subsystem construction cost",""
"4703","ファンクションポイントの合計が開発規模で扱える範囲を超えました。0を設定します。","Total function point number exceeds the range of development scale. Set 0.",""
"4704","システム構築費用の合計がソフト費用で扱える範囲を超えました。0を設定します。","Total system construction cost exceeds range of available software cost. Set as 0.",""
"4705","ファンクションポイント","Function point",""
"4706","システム構築費用","System construction cost",""
"4707","タスクと階層の対応付け","Matching of task and level",""
"4708","左のツリーより　　　をドラッグして、対応させたいタスクにドロップしてください","            Drag      to left tree and drop onto the  task to be matched",""
"4709","左のツリーより　　　をドラッグして、対応させたい%1にドロップしてください","            Drag      to left tree and drop onto the  %1 to be matched",""
"4710","%1と階層の対応付け","Matching of  %1 and level",""
"4711","データベースをオープンできないため、初期設定できません。","Unable to perform initial setting because database cannot be opened.",""
"4712","新ActID","New ActID",""
"4713","新TskID","New TskID",""
"4714","旧ActID","Old ActID",""
"4715","旧TskID","Old TskID",""
"4716","対応階層","Matched level",""
"4717","設定内容をシステムへ更新せずに終了します。よろしいですか？","Ended without updating the system with the settings. Continue?",""
"4718","この設定で%1と階層の対応付けを行います。よろしいですか？","Establish level correspondence with %1 through this setting. Continue?",""
"4719","%1と階層の対応付けを行わずに終了します。よろしいですか？","Ended without establishing level correspondence with %1. Continue?",""
"4720","プロジェクトにプロセスが指定されていません。","Process not specified for project.",""
"4721","プロジェクトに階層が指定されていません。","Level not specified for project.",""
"4722","初期設定処理中にエラーが発生しました。","Error occurred when performing initial setting process.",""
"4723","データベースをオープンできないため、対応付けができませんでした。","Unable to associate because cannot open database.",""
"4724","階層を%1に対応付けするときに、%2の更新時にエラーが発生しました。","Error occurred in updating %2 when establishing corresponding relation with level and %1.",""
"4725","対象ユーザ","Target user",""
"4726","∞"," --",""
"4727","定義参照...","View Definition...",""
"4728","プロセス流用元プロジェクトから機能構成定義を流用しますか？","Do you want to divert function structure definition from process divert-from project?",""
"4729","親プロジェクトから機能構成定義を流用しますか？","Whether divert function structure definition from parent project?",""
"4730","モジュール定義","Module definition",""
"4731","すべての項目に適用","Apply to all items",""
"4732","機能構成定義参照","View function structure definition",""
"4733","オーダ選択","Select order",""
"4734","一覧更新","Update list",""
"4735","件","Piece",""
"4736","1000件以下になるように条件を指定してください。","Please specify condition to make piece number under 1000.",""
"4737","オーダ名","Order name",""
"4738","自分の組織を表示","Display your organization",""
"4739","プロジェクト名検索","Search project name",""
"4740","ﾌﾟﾛｼﾞｪｸﾄ名","Project name",""
"4741","ﾌﾟﾛｼﾞｪｸﾄｺｰﾄﾞ","Project code",""
"4742","予定要因数","Scheduled factor number",""
"4743","備考欄","Note column",""
"4744","%1には数値を入力してください。","Please enter numerical value in %1.",""
"4745","%1は0(%2)～%3(%4)の範囲の値を入力してください。","%1 please enter value from 0 (%2) to %3(%4).",""
"4746","%1を正しく入力してください","Please enter %1 correctly",""
"4747","%1には数値を入力してくださ","Please enter numerical value in %1.",""
"4748","%1には正数を入力してください","Please enter positive number in %1.",""
"4749","%1は整数部%2桁、小数部%3桁までです","The value of %1, integer part within %2 digits, decimal part within %3 digits",""
"4750","%1には%2桁までの整数を入力してください","Please enter integer within %2 digit in %1",""
"4751","%1には数値を入力してください","Please enter numerical value in %1",""
"4752","%1には%2～%3までの整数を入力してください","Please enter integer from %2 to %3 in %1",""
"4753","%1には整数を入力してください","Please enter integer in %1",""
"4754","役割カスタマイズ","Customize role",""
"4755","統合解除","Disintegrate",""
"4756","統合","Integrate",""
"4757","役割の変更","Change role",""
"4758","役割の統合","Role Integration",""
"4759","統合解除してもいいですか?","Disintegrate?",""
"4760","役割名を指定してください","Please specify role name",""
"4761","役割名が桁数オーバーです","Role name exceed specified digits",""
"4762","役割名略称を指定してください","Please specify abbreviated role name",""
"4763","役割名略称が桁数オーバーです","Abbreviated role name abbreviation exceeds legal digit",""
"4764","登録してもいいですか？","Are you sure to register?",""
"4765","役割GID","Role GID",""
"4766","内容","Contents",""
"4767","変更前の役割名","Role name before change",""
"4768","統合先役割GID","Integration target role GID",""
"4769","順番","Order number",""
"4770","削除フラグ","Delete Flag",""
"4771","変更削除フラグ","Change deletion flag",""
"4772","データベースオープンのための接続に失敗しました","Failed to connect database",""
"4773","(削除済)","(Deleted)",""
"4774","(このサーバには該当する情報がありません)","(No corresponding information in this server)",""
"4775","適用機能設定","Applicable function settings",""
"4776","イベント管理","Event management",""
"4777","プロセス適用設定","Process application settings",""
"4778","結合方法","Combination method",""
"4779","和集合をとる","Choose intersection",""
"4780","マッピングする","Mapping",""
"4781","子プロジェクト","Subproject",""
"4782","親プロジェクト","Parent project",""
"4783","親と子のどちらのプロセスを使用するか選択してください","Please select using parent process or subprocess",""
"4784","通貨単位変更","Change currency unit",""
"4785","通貨単位を新規に設定","New currency unit",""
"4786","定義されている単位で指定","Specify with defined unit",""
"4787","（通貨単位）","(Currency unit)",""
"4788","（金額レート）","(Amount rate)",""
"4789","小数点以下、","Display until",""
"4790","桁まで表示"," digit after decimal point",""
"4791","通貨単位を入力してください","Please enter currency unit",""
"4792","通貨単位","Currency unit","PD_C_S_MONEY_NAME_INIT"
"4793","金額レート","Amount rate","PD_C_S_MONEY_RATE_INIT"
"4794","金額レートを0にすることはできません","Amount rate cannot be set as 0",""
"4795","親プロジェクト選択","Select parent project",""
"4796","選択...","Select...",""
"4797","報告書メール登録設定","Report mail register settings",""
"4798","報告書メール登録を使用する","Use [report mail register]",""
"4799","ポート番号","Port number",""
"4800","ログイン名","Login name",""
"4801","リビジョンアップ条件設定","Revision up condition settings",""
"4802","編集時","When editing",""
"4803","履歴保存時に選択","Select when saving history",""
"4804","確認時","When validating",""
"4805","リビジョンアップ条件が指定されていません","Revision up condition not specified",""
"4806","規模単位変更","Change scale unit",""
"4807","（規模単位）","(Scale unit)",""
"4808","規模単位を新規に設定","New scale unit",""
"4809","(規模単位)","(Scale unit)","PD_C_S_SCALE_UNIT_INIT"
"4810","規模単位を入力してください","Please enter scale unit",""
"4811","規模単位","Scale unit",""
"4812","サービスイン履歴","Service in history",""
"4813","編集フラグ","Edit flag",""
"4814","サービスイン日","Service in date",""
"4815","メモ","Memo",""
"4816","サービスイン日を入力してください","Please enter service in date",""
"4817","前回サービスインは今回サービスインより前に設定してください","Please set last service in date earlier than this date",""
"4818","同一日のデータが既に入力されています","Data of same day has been entered",""
"4819","選択されているデータを削除します。よろしいですか？","Selected data will be deleted. Continue?",""
"4820","プロジェクトフォルダ選択","Select project folder",""
"4821","構成管理ツールの設定","Configuration management tool settings",""
"4822","構成管理ツールのオープンに失敗しました。データベースパスを確認してください","Failed to open configuration management tool. Please confirm database path",""
"4823","データベース ファイル選択","Select database file",""
"4824","履歴詳細","Detailed history",""
"4825","ログ","Log",""
"4826","変更理由","Change reason ",""
"4827","日時","Time",""
"4828","を"," ",""
"4829","プロセス編集履歴","Process edit history",""
"4830","詳細...","Detail...",""
"4831","履歴を１つ選択してください","Please select a history",""
"4832","プロセス編集履歴参照...","View process edit history...",""
"4833","プロセスフローに従って成果物を自動割当てする","Automatically assign product according to process flow",""
"4834","成果物格納先を子プロジェクトに引き継ぐ","Pass product storing folder to subproject",""
"4835","現在のプロセス名を変更する","Change current process name",""
"4836","階層の対応付け...","Matching of levels...",""
"4837","アーンドバリュー分析を行う   コスト表示単位","Making Earned Value analysis    cost unit",""
"4838","SuperSCALE設定...","SuperSCALE settings...",""
"4839","規模／金額","Scale/amount",""
"4840","見積り登録...","Register estimation...",""
"4841","見積り計算結果...","Estimate result...",""
"4842","見積り計算...","Estimate...",""
"4843","事例参照...","View example ...",""
"4844","変更...","Change...",""
"4845","単位","Unit",""
"4846","従属アクティビティの日付も変更する","Also change activity date",""
"4847","従属タスクの日付も変更する","Also change task date",""
"4848","要件定義","Requirements definition",""
"4849","登録   ","Register   ",""
"4850","更新   ","Update   ",""
"4851","保存   ","Save   ",""
"4852","追加...  ","Add  ",""
"4853","適用機能...","Applicable function...",""
"4854","全選択  ","Select all  ",""
"4855","設定...  ","Set...  ",""
"4856","設定解除 ","Unset ",""
"4857","ﾌｧｲﾙ   ","File   ",""
"4858","ｲﾝﾎﾟｰﾄ...","Import...",""
"4859","ﾌﾟﾛｾｽ編集","Edit process ",""
"4860","進捗ﾀｽｸ定義","Progress task definition",""
"4861","ｷｬﾝｾﾙ  ","Cancel  ",""
"4862","役割定義","Role definition",""
"4863","権限","Authority",""
"4864","役割（計画書）","Role (plan)",""
"4865","役割（プロセス）","Role (process)",""
"4866","目標見込額","Target estimation",""
"4867","(百万円)","(Million Yen)",""
"4868","評価結果","Test result",""
"4869","評価結果をプロジェクト一覧で定性評価として使用する","Use test result for qualitative evaluation in project list",""
"4870","単位：(百万円)","Unit: (Million Yen)",""
"4871","CSV(タブ区切り)(*.csv)|*.csv","CSV (tab separation mark)(*.csv)|*.csv",""
"4872","モジュールパターン名","Module pattern name",""
"4873","モジュールパターンコード","Module pattern code",""
"4874","プロジェクト区分","By project",""
"4875","統括プロジェクト","General project",""
"4876","個別プロジェクト","Individual project",""
"4877","作業割当て/承認等で自動送信コメントを利用する","Use automatic comment sending for work assignment/permission",""
"4878","プロジェクト英名","Project English name",""
"4879","プロジェクト正式名称","Project formal name",""
"4880","（／年）","(/Year)",""
"4881","詳細情報URL","Detailed information URL",""
"4882","現フェーズ","Current phase",""
"4883","リリース頻度","Release frequency",""
"4884","※SuperSCALEで使用するプロジェクトコードを入力してください","* Please enter project code used in Super SCALE",""
"4885","SuperSCALE プロジェクトコード","SuperSCALE project code",""
"4886","公開／非公開","Public/Private",""
"4887","定期登録の設定...","Periodic register settings...",""
"4888","メール登録の設定...","Mail register settings...",""
"4889","構成管理ツールの設定...","Configuration management tool settings...",""
"4890","リビジョンアップ条件の設定...","Revision up condition settings...",""
"4891","履歴管理において、実ファイルを最近","History management function saved to last",""
"4892","個分持つ","files",""
"4893","日程","Schedule",""
"4894","複数指定...","Specify multiple...",""
"4895","太字は必須項目","Bold items are required",""
"4896","戻る   ","Back   ",""
"4897","この操作を行うにはデータを更新する必要があります。","Data must be updated to carry out this operation.",""
"4898","更新しますか？","Update?",""
"4899","このプロセスは他人または他プロジェクトで更新中のため編集できません","Unable to edit because this process is under updating by other person or other project",""
"4900","最終更新日：","Final update date:",""
"4901","%1（%2）を削除しますか？","Are you sure to delete %1 (%2)?",""
"4902","選択している%1をすべて削除しますか？","Delete all selected %1?",""
"4903","コンテンツが登録されている%1は削除できません","Unable to delete %1 with contents register",""
"4904","責任者は削除できません","Unable to delete responsibles",""
"4905","リーダは削除できません","Unable to delete leader",""
"4906","要員（%1）を削除しますか？","Are you sure to delete member (%1)?",""
"4907","選択している要員をすべて削除しますか？","Are you sure to delete all checked members?",""
"4908","要員 (%1) は、リーダのため、削除できません","Unable to delete because member (%1) is leader",""
"4909","要員 (%1) は、責任者のため、削除できません","Unable to delete member (%1)because he(she) is responsible",""
"4910","要員 (%1) は、%2担当者のため、削除できません ","Unable to delete because member (%1) is the person in charge of %2",""
"4911","%1一覧ファイル選択","Select %1 list file",""
"4912","入力されているデータに誤りがあります。エラーファイルを参照の上、データを修正してください。","Entered data has error. Please refer to error file for correction.",""
"4913","%1'%2'に対応する担当者'%3'がプロジェクト要員として登録されていません。","The person in charge of %1'%2' - '%3' not register as project member.",""
"4914","この%1の担当者を「指定なし」として登録します。","The person in charge of this %1 registered as [not specified].",""
"4915","ファイル内に有効な内容がありません","No valid content in file",""
"4916","上書き","Overwrite",""
"4917","スキップ","Skip",""
"4918","ファイル(%1)が存在しません","File (%1) does not exist",""
"4919","ファイル(%1)アクセス中にエラーが発生しました。","Error occurred when accessing file (%1).",""
"4920","エラーメッセージ","Record message",""
"4921","レコード番号","Record number",""
"4922","入力レコード内容","Input record content",""
"4923","ファイルのフォーマットが誤っています","File format error",""
"4924","ファイルの中身がありません","No content in file",""
"4925","%1コードが指定されていません","%1 code not specified",""
"4926","%1名が指定されていません","%1 name not specified",""
"4927","%1コード(%2)はファイル内で重複して指定されています","%1 code (%2) is repeatedly specified in file",""
"4928","担当者(%1)は登録／更新対象プロジェクトに割り当てられていません","The person in charge (%1) not assigned to register/update project.",""
"4929","%1コードが１０バイトを越えています","%1 code exceeds 10 characters",""
"4930","%1名が４０バイトを越えています","%1 name exceeds 40 characters",""
"4931","プロジェクト（%1）を更新しました。","Project updated (%1)",""
"4932","プロセスにコンテンツが %1 個登録されています。","%1 contents registered in process.",""
"4933","これらのコンテンツをコピーしますか？","Copy these contents?",""
"4934","コンテンツをコピーしています...","Contents copying...",""
"4935","コンテンツのコピーが終了しました","Contents copy completed",""
"4936","コンテンツのコピーを途中でキャンセルしました。","Contents copy abolished midway.",""
"4937","%1と階層の対応付けを行いますか？","Establish corresponding relation between %1 and level or not?",""
"4938","プロジェクト（%1）を登録しました","Project registered (%1)",""
"4939","親プロジェクトは既に変更されています。","Parent project already changed.",""
"4940","前回の変更をリセットして処理を継続しますか？","Reset last change and continue processing?",""
"4941","プロセスが変更されているため、%r%n新しい親プロジェクトにプロセスが存在する場合は%r%n新しい親プロジェクトのプロセスが有効になります。","Because process changed, %r%n if process exists in new parent project, %r%n then process of new parent project is valid.",""
"4942","親プロジェクトを変更してよろしいですか？","Change parent project?",""
"4943","プロジェクト終了日に未来の日付が設定されています","Future date set as  the project completion date",""
"4944","プロジェクトコードを入力してください","Please enter project code",""
"4945","プロジェクト名を入力してください","Please enter project name",""
"4946","見積り計算が行われていません。","Estimation calculation not performed",""
"4947","見積り計算を行いますか？","Perform estimation calculation?",""
"4948","見積り支援ツール「FRIEND2 for ProcessDirector」をインストールして見積り計算を行ってください。","Please install calculation tool [FRIEND2 for ProcessDirector] to perform estimation calculation.",""
"4949","変更すると、データが初期化されます","Data will be initialized if changed",""
"4950","既に同じ%1コードが登録されています","Same %1 code has registered",""
"4951","オーダ(%1:%2)を削除しますか？","Are you sure to delete order (%1:%2)?",""
"4952","選択しているオーダをすべて削除しますか？","Delete all checked order?",""
"4953","一覧の中から要員を選択してください。","Please select member in list.",""
"4954","%1 など、計 %2 人","%1 and so on, %2 people in total.",""
"4955","子プロジェクト名","Subproject name",""
"4956","見積原価額","Estimation cost value",""
"4957","(自動設定)","(Automatic setting)",""
"4958","要員ID","Member ID",""
"4959","サブ","Sub",""
"4960","構成","structure",""
"4961","予算","Budget",""
"4962","文書","Document",""
"4963","生産","Produce",""
"4964","ｸﾚｰﾑ","Claim",""
"4965","支給品","Material supply",""
"4966","購買","Purchase",""
"4967","外注","Outsourcing",""
"4968","出荷","Release",""
"4969","上位上司","Superior leader",""
"4970","部門ID","Department ID",""
"4971","オリジナル%1ID","Original %1 ID",""
"4972","項目ID","Item ID",""
"4973","項目属性タイプ","Item property type",""
"4974","選択肢","Option",""
"4975","選択値","Select value",""
"4976","桁数","Digit",""
"4977","空欄許可","Blank column permitted",""
"4978","既定値","Default value",""
"4979","付替","Change",""
"4980","見込","Estimate",""
"4981","依頼元","Requestor",""
"4982","体系","System",""
"4983","SEGP額","SEGP amount",""
"4984","SEGP率","SEGP rate",""
"4985","改善額","Improve amount",""
"4986","改善率","Improve rate",""
"4987","設定状況","Setting state",""
"4988","通知","Notice",""
"4989","責任者にリーダ以外の権限を与えることはできません。","Cannot assign responsibles authority other than leader's.",""
"4990","この要員の権限の変更は、他の要員を責任者にしてから行ってください。","Please set other members as responsible first if you want to modify this member's authority.",""
"4991","リーダに責任者以外の権限を与えることはできません。","Cannot assign authority other than principal's to leader.",""
"4992","この要員の権限の変更は、他の要員をリーダにしてから行ってください。","Please set other members as leader first if you want to change this member's authority.",""
"4993","プロジェクトコードは半角英数字2桁にしてください","Please set project code as 2-digit DBC case English number",""
"4994","プロジェクトコードは半角英数字にしてください","Project code needs to be set as DBC case English number",""
"4995","組織名を入力してください","Please enter organization name",""
"4996","責任者を指定してください","Please specify responsibles",""
"4997","リーダを指定してください","Please specify leader",""
"4998","顧客名を入力してください","Please enter customer name",""
"4999","履歴の実ファイル保持数","Actual file saving number of history",""
"5000","プロジェクト開始日を指定してください","Please specify project start date",""
"5001","プロジェクト終了予定日を指定してください","Please specify scheduled project completion date",""
"5002","サービスイン日を指定してください","Please specify service in date",""
"5003","プロジェクト終了予定日にはプロジェクト開始日以降の日付を指定してください","Please specify a date later than project start date in project scheduled completion date",""
"5004","プロジェクト終了日にはプロジェクト開始日からプロジェクト終了予定日までの日付を指定してください","Please specify project completion date between project start date and  scheduled project completion date",""
"5005","作業タイプを指定してください","Please specify work type",""
"5006","業種を指定してください","Please specify industry type",""
"5007","案件が入力されていませんが、プロジェクトを登録してよろしいですか？","Draft not entered, are you sure to register project?",""
"5008","案件が入力されていませんが、プロジェクトを更新してよろしいですか？","Draft not entered, update project?",""
"5009","入力必須項目に値が設定されていません。","Necessary value not set for item input.",""
"5010","%1には有効範囲内の数値(-2147483648～2147483647)を入力してください。","Please enter numerical value in %1 in valid range (-2147483648 -- 2147483647).",""
"5011","%1を指定してください","Please specify %1",""
"5012","付替の合計が金額の上限値を超えています","Transfer amount exceeds upper limit of sum",""
"5013","合意の合計が金額の上限値を超えています","Agreement amount exceeds upper limit of sum",""
"5014","見込の合計が金額の上限値を超えています","Budget amount exceeds upper limit of sum",""
"5015","プロジェクト情報の取得に失敗しました","Failed to acquire project information",""
"5016","プロセスを読み込んでいます...","Reading process...",""
"5017","責任者,リーダ","Responsibles, leader",""
"5018","構成担当","Person in charge of configuration",""
"5019","品質担当","Person in charge of quality",""
"5020","予算担当","Person in charge of budget",""
"5021","モジュールパターン１","Module pattern 1",""
"5022","同じプロジェクトコードが登録されています","Same project code registered",""
"5023","%1情報の削除でエラーが発生しました","Error occurred when deleting %1 information",""
"5024","サービスイン日登録でエラーが発生しました","Error occurred when registering service in date",""
"5025","プロジェクト情報を保存しています...","Saving project information...",""
"5026","モジュールパターンコードが指定されていません","Module pattern code not specified",""
"5027","モジュールパターン名が指定されていません","Module pattern name not specified",""
"5028","%1コードまたは%2名が指定されていません","%1 code or %2 name not specified",""
"5029","モジュールパターン情報のコピーでエラーが発生しました","Error occurred when copying mudule pattern information",""
"5030","%1情報のコピーでエラーが発生しました","Error occurred when copying %1 information",""
"5031","古いプロセスを削除しています...","Deleting old process...",""
"5032","プロセスを作成しています...","Creating process...",""
"5033","既に同じプロジェクトコードが登録されています。登録しますか？","Same project code registered. Want to register?",""
"5034","従属%1の日付も変更する","Change date of subordinate %1 at same time",""
"5035","進捗%1定義","Define progress %1",""
"5036","%1に従って成果物を自動割当てする","Automatically assign product according to %1",""
"5037","テータが変更されています。保存しますか？","Data changed. Want to save?",""
"5038","要件コードが入力されていません","Requirement code not entered",""
"5039","要件名が入力されていません","Requirement name not entered",""
"5040","指定した要件コードは既に存在しています","Specified requirement code already existed",""
"5041","終了日には開始日以降の日付を指定してください","Please specify end date after start date",""
"5042","開始日には終了日以前の日付を指定してください","Please specify start date earlier than end date",""
"5043","要件が定義されていないため、関連付けが行えません","Unable to associate because requirement not defined",""
"5044","機能構成が定義されていないため、関連付けが行えません","Unable to associate because function structure not defined",""
"5045","WK番号参照","View WK number",""
"5046","顧客名または業務名に含まれる文字を入力して「表示」を押してください。","Please enter character included in customer name or business name and click [Display].",""
"5047","異なるBUのWK番号です","Wk number of different BU",""
"5048","営業仕切額","Business balance",""
"5049","SE所属","Belong to SE",""
"5050","完了予定日","Scheduled end date",""
"5051","WK番号","WK number",""
"5052","営本","Business headquarters",""
"5053","Wk番号","Wk number",""
"5054","原価分類","Cost classification",""
"5055","SEP-coサーバのオープンに失敗しました","Failed to open SEP-co server",""
"5056","SEP-coサーバのアクセスでエラーが発生しました","Error occurred when accessing SEP-co server",""
"5057","すでに登録済みです","Registered",""
"5058","登録日設定","Register date setting",""
"5059","曜日  ","",""
"5060","実施週","Implementation week",""
"5061","指定週","Specified week",""
"5062","隔週","Every other week",""
"5063","毎週","Each week",""
"5064","曜日指定","Specify weekday",""
"5065","第１","No. 1",""
"5066","第２","No. 2",""
"5067","第３","No. 3",""
"5068","第４","No. 4",""
"5069","第５","No. 5",""
"5070","毎月","Each month",""
"5071","第","No.",""
"5072","曜日が指定されていません","Weekday not specified",""
"5073","指定週が指定されていません","Appointed week not specified",""
"5074","指定週を選択時は、複数の曜日を指定できません","Multiple weekdays cannot be specified when selecting appointed week",""
"5075","日付が指定されていません","Date not specified",""
"5076","説明が桁数オーバーです","Explanation exceeds digit",""
"5077","作業期間設定","Working period setting",""
"5078","SuperSCALE設定","SuperSCALE settings",""
"5079","プロジェクト選択時","When selecting project",""
"5080","メール報告取得","Acquire mail report",""
"5081","報告定期登録","Report periodic register",""
"5082","定量評価参照","View quantitative evaluation",""
"5083","定量評価更新","Update quantitative evaluation",""
"5084","概要体制","Outline team structure",""
"5085","報告参照","View report",""
"5086","最新状況","Latest status",""
"5087","個人報告","Personal report",""
"5088","自分でない個人報告","Others' personal report",""
"5089","個人状況以外","Non-personal situation",""
"5090","個人状況","Personal situation",""
"5091","個人状況(旧担当)","Personal situation (Previous position)",""
"5092","定量評価は登録されていません。","Quantitative evaluation not registered.",""
"5093","参照する権限がありません。","No authority to view.",""
"5094","代行作業を開始しますか？","Start acting work?",""
"5095","権限取得でエラーが発生しました","Error occurred when acquiring authority",""
"5096","Eメール連絡先選択","Select E-mail recipient",""
"5097","全チェックはずす","Uncheck all",""
"5098","全チェック","Check all",""
"5099","Eメール連絡先が設定されていませんが、 %r%nこのまま終了してよろしいですか？","E-mail address not set, %r%n are you sure to quit?",""
"5100","連絡","Contact",""
"5101","(全%1名)","(All %1 member(s))",""
"5102","送信先一覧","Recipient list",""
"5103","全 %1名","All %1 member(s)",""
"5104","コメント送信先設定","Comment recipient setting",""
"5105","Eメール連絡も設定する","Also send E-mail",""
"5106","↓送信追加","Add sending",""
"5107","全件削除","Delete all",""
"5108","送信対象者一覧","Recipient list",""
"5109","所属要員一覧","Member List ",""
"5110","すべて連絡設定","Set all contacts",""
"5111","すべて連絡解除","Unset all contacts",""
"5112","コメント送信数 %1件","Send comment number  %1",""
"5113","Ｅメール送信数 %1件","Send E-mail number  %1",""
"5114","フラグ","Flag",""
"5115","メンバID+部門ID","Member ID + Department ID",""
"5116","Eメール連絡","Contact with E-mail",""
"5117","体制／役職","Team structure/role",""
"5118","Ｅメール送信数%1件","Send  %1 E-mail(s) ",""
"5119","送信者を設定して下さい。","Please set sender.",""
"5120","このプロジェクトの情報は要員以外には公開されていません。","The information of this project is not open to non-members.",""
"5121","このプロジェクトの情報は組織以外には公開されていません。","The information of this project is not open to  public.",""
"5122","対象メンバが選択されていません。","Target member not selected.",""
"5123","設定した内容がすべてクリアされます。よろしいですか？","Set content will all be cleared. Continue?",""
"5124","送信メンバが選択されていません。","Sending member not selected.",""
"5125","非公開情報取得でエラーが発生しました","Error occurred when acquiring private information",""
"5126","【元のコメントの送信者】","[Original comment sender]",""
"5127","%1 他 %2名","%1 other  %2 member(s)",""
"5128","タイトルおよび本文には、置換文字を指定することが可能です。","Specifying character for replace in title and text is permittable.",""
"5129","・定義項目の内容を埋め込む場合","* When filling the contents of defined items",""
"5130","送信内容に下記フォーマットが記述されている場合は､%r%n  各項目に登録されている情報が埋め込まれてメールが送信されます｡","When the following format exists in sending content, %r%n  information registered each item will be filled into mail for sending.",""
"5131","フォーマット：$項目名$","Format: $item name$",""
"5132","※ 定義項目は項目生成ツールにより登録・参照することができます。","* Defined item can register/reference with item generation tool.",""
"5133","・システムが提供する情報を埋め込む場合","* When filling information offered by system",""
"5134","送信内容に下記フォーマットが記述されている場合は､%r%n  対応する情報が埋め込まれてメールが送信されます｡","When the following format exists in sending content, %r%n corresponding information will be filled into mail for sending.",""
"5135","フォーマット：%対応文字%","Format: %corresponding character%",""
"5136","対応文字","Corresponding character",""
"5137","埋め込まれる情報","Filled information",""
"5138","情報登録時は「登録」、更新時は「更新」、修正時は「修正」","[register] when registering in information, [update] when updating, [modify] when modifying",""
"5139","情報登録時は「登録」、修正時は「修正」","[register] when registering in information, [modify] when making modification",""
"5140","TOで送信される要員名一覧","Member list with TO sending",""
"5141","CCで送信される要員名一覧","Member list with CC sending",""
"5142","Reply-Toに設定される要員名一覧","Member list set as Reply-To",""
"5143","ProcessDirectorのURLアドレス","URL address of ProcessDirector",""
"5144","※ 特殊文字「$,%,\」を通常文字として使用する場合は、%r%n    エスケープ文字「\」でエスケープしてください。","* When using special character [$, %, \] as common character, %r%n    please use escape character [\] to escape.",""
"5145","指定項目設定","Specified item setting",""
"5146","送信内容編集","Edit sending content",""
"5147","本文","Text",""
"5148","%1にタブ文字は使用できません","Tab character cannot be used in %1",""
"5149","%1は空欄にできません","%1 cannot be blank",""
"5150","%1で「\」が正しく使用されていません","Incorrect [\] use in %1",""
"5151","%1の「%2%3」は正しく閉じられていません","%1's [%2 %3] not correctly closed",""
"5152","%1の「%2%3%4」は利用管理項目として定義されていません","%1's [%2 %3 %4] not defined as usage management item",""
"5153","%1の「%2%3%4」は対応文字として正しくありません","%1's [%2 %3 %4] is not correct as corresponding character",""
"5154","%1に入力できる文字数を超えています","Permitted characters exceeded in %1",""
"5155","送信方法","Sending method",""
"5156","指定項目","Specified item",""
"5157","メール送信を利用する","Use mail sending",""
"5158","返信メールを利用する","Use mail replying",""
"5159","発信者アドレス","Sender's address",""
"5160","メール機能を利用する場合、発信者アドレスは必ず指定してください","Please specify sender's address when using mail function",""
"5161","管理項目を右クリック","Right click management item",""
"5162","TOをチェックする","Check TO",""
"5163","CCをチェックする","Check CC",""
"5164","返信をチェックする","Check reply",""
"5165","すべてのチェックを外す","Uncheck all",""
"5166","その他を右クリック","Right click other",""
"5167","登録および更新時に自動的に送信される","Automatically send when registered or updated",""
"5168","指定項目が設定された場合のみ送信される","Only send when specified item is set",""
"5169","項目GID","Item GID",""
"5170","管理項目名","Management item name",""
"5171","返信","Reply",""
"5172","アドレス","Address",""
"5173","送信先","Recipient",""
"5174","修正内容をクリアしてよろしいですか？","Clear modified contents ?",""
"5175","クリアしました","Cleared",""
"5176","文字列長が制限(255byte)を越えています","Character string exceed limit (255 byte)",""
"5177","発信者アドレスが設定されていません","Sender's address not specified",""
"5178","その他のアドレスが設定されていません","Other address not specified",""
"5179","TO項目を1つ以上設定してください","Please set more than one TO item",""
"5180","項目流用","Divert item",""
"5181","定義管理項目　チェックした項目が流用されます","Define management item  checked item will be kept using",""
"5182","← 削除","<-- Delete",""
"5183","項目の流用","Divert item",""
"5184","項目の追加","Add item",""
"5185","項目の編集","Edit item",""
"5186","項目の削除","Delete item",""
"5187","利用項目","Using  item",""
"5188","最初に戻す","Return to beginning",""
"5189","利用管理項目","Usage management item",""
"5190","定義管理項目","Definition management item",""
"5191","行を右クリック","Right click row",""
"5192","有効","Enable",""
"5193","利用管理項目が変更されています。","Usage management item changed.",""
"5194","サーバID","Server ID",""
"5195","文書種別","Document type",""
"5196","段落","Paragraph",""
